ProfileID,Longitude,Latitude,T_Year,Start_Date,End_Date,Satellite,error,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,QA_PIXEL
BJ W3_0164,2.4047,7.4448,1998,1998-01-01,1998-12-31,Landsat-5,,15942.507031828274,17019.245497162592,17053.926967678264,21499.635578583766,20682.79694053787,17858.554404145078,5896.0
BJ W3_0185,2.5655,6.361,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0161,2.1765,7.3866,1998,1998-01-01,1998-12-31,Landsat-5,,11251.558076448828,11522.96522811344,11018.54229346486,14424.295684340317,11827.897410604193,9927.024414303329,7269.246855733663
BJ W3_0170,2.4275,7.3298,1998,1998-01-01,1998-12-31,Landsat-5,,14765.618038442584,15156.46895022179,15013.911039921146,17709.30137999015,16100.108674223762,13614.837358304587,7121.498275012324
BJ W3_0189,2.4695,6.3786,1996,1996-01-01,1996-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1996-01-01-1996-12-31,,,,,,,
BJ W3_0175,2.3312,7.2261,1999,1999-01-01,1999-12-31,Landsat-7,,9365.3421247227,9900.390436282965,10172.310574315994,14355.31944786788,13998.060635937885,11399.302193739215,7440.0
BJ W3_0176,2.4112,7.3571,1998,1998-01-01,1998-12-31,Landsat-5,,65437.33672949566,27603.859144167094,28279.572592969944,31415.01095262354,28874.421293937856,23969.881049414154,5896.0
BJ W3_0194,1.9142,6.3611,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0195,1.7378,6.6112,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0196,2.5144,6.3623,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0197,2.1505,7.1326,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
BJ W3_0198,2.326,6.3841,1995,1995-01-01,1995-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1995-01-01-1995-12-31,,,,,,,
BJ W3_0183,2.143,7.3993,1998,1998-01-01,1998-12-31,Landsat-5,,65535.0,29161.843640020114,30038.415535444936,33017.19834087481,32240.650578179982,25016.618149824033,5896.0
BJ W3_0202,1.9759,6.9325,1997,1997-01-01,1997-12-31,Landsat-5,get_landsat_data 1 : Aucune image trouvée pour  Landsat-5 1997-01-01-1997-12-31,,,,,,,
