Longitude_Latitude,ProfileID
"(-16.503055945698314, 14.577189295352282)",IRD_444
"(-16.503103114483086, 14.577889283887599)",IRD_445
"(-16.503625769459827, 14.578348772375652)",IRD_446
"(-16.502991867519246, 14.578814282429743)",IRD_447
"(-16.50338537586194, 14.579168901949764)",IRD_448
"(-16.50374583614609, 14.579480880327104)",IRD_449
"(-16.50317499114073, 14.579722247308219)",IRD_450
"(-16.50326338866644, 14.580343811647767)",IRD_451
"(-16.503795582655115, 14.582238448464091)",IRD_452
"(-16.501948826046952, 14.57630672159537)",IRD_453
"(-16.502137701998446, 14.577664965449008)",IRD_454
"(-16.502838369586136, 14.57820431750252)",IRD_455
"(-16.502148330374887, 14.579137050841767)",IRD_456
"(-16.5023358699723, 14.57947770254765)",IRD_457
"(-16.50200861694391, 14.579568341741243)",IRD_458
"(-16.50244566668591, 14.580106749561349)",IRD_459
"(-16.502266359862556, 14.580909501638741)",IRD_460
"(-16.502199051204943, 14.581565466127811)",IRD_461
"(-16.505592574033713, 14.584282598166016)",IRD_462
"(-16.50564652868636, 14.584025367417546)",IRD_463
"(-16.50389239854073, 14.583898066117207)",IRD_464
"(-16.50304959369803, 14.584088180838371)",IRD_465
"(-16.505531642800335, 14.585890660687706)",IRD_466
"(-16.50501846858839, 14.585903946841713)",IRD_467
"(-16.504521697989798, 14.586059370002543)",IRD_468
"(-16.5038550536693, 14.585496766922384)",IRD_469
"(-16.505355117093615, 14.586745712888382)",IRD_470
"(-16.50436356776795, 14.586563931800931)",IRD_471
"(-16.504258292643307, 14.587124618570341)",IRD_472
"(-16.503854099454873, 14.586346846513226)",IRD_473
"(-16.502698195211902, 14.58665196182792)",IRD_474
"(-16.50253294046753, 14.587094227875795)",IRD_475
"(-16.505656974455057, 14.587201727311484)",IRD_476
"(-16.505160192752584, 14.587369914906047)",IRD_477
"(-16.50419078908987, 14.587940842353218)",IRD_478
"(-16.503138851324348, 14.58734669689905)",IRD_479
"(-16.502389254899626, 14.587492019685381)",IRD_480
"(-16.505374918188558, 14.588167941203016)",IRD_481
"(-16.504282886849325, 14.58865173017228)",IRD_482
"(-16.503433317745692, 14.58824796892313)",IRD_483
"(-16.50519677173302, 14.590073060154102)",IRD_484
"(-16.502433145507897, 14.589939602983888)",IRD_485
"(-16.503528063451263, 14.591333074304611)",IRD_486
"(-16.50360840849568, 14.59086914604018)",IRD_487
"(-16.502949711934047, 14.591206485297757)",IRD_488
"(-16.502537706498387, 14.59125530727721)",IRD_489
